iter	Logloss
0	0.6778942101
1	0.6625463776
2	0.6492800174
3	0.6379061255
4	0.6269906471
5	0.6193633544
6	0.6102095007
7	0.6028624222
8	0.5950462342
9	0.5879406989
10	0.5819736732
11	0.5756266414
12	0.5703466467
13	0.565815401
14	0.5610166062
15	0.5570901444
16	0.5531592018
17	0.5504515399
18	0.5466915239
19	0.5440068351
20	0.541010414
21	0.5374860297
22	0.535400505
23	0.5333026862
24	0.5312018438
25	0.5289982921
26	0.5270305499
27	0.5248774799
28	0.521061852
29	0.5178089558
30	0.515513794
31	0.5137989699
32	0.5114062838
33	0.5101312167
34	0.5087131949
35	0.5069158629
36	0.5057411696
37	0.5047807198
38	0.5036955096
39	0.5019396947
40	0.4996549697
41	0.4987568391
42	0.4977601809
43	0.4968052733
44	0.4948965889
45	0.4935552612
46	0.4927255929
47	0.4916426315
48	0.4908741629
49	0.4900378289
50	0.4892942055
51	0.4878714267
52	0.4871152255
53	0.4860891983
54	0.4853365688
55	0.4846564228
56	0.4840038176
57	0.4833533864
58	0.4823670784
59	0.4818536869
60	0.4806046402
61	0.4800399986
62	0.4792904417
63	0.4787374292
64	0.4782398283
65	0.4770226463
66	0.4764855305
67	0.4759827822
68	0.475491237
69	0.4749172736
70	0.4739299607
71	0.4728817597
72	0.4716523024
73	0.4712062848
74	0.4703402515
75	0.4699099067
76	0.4690203009
77	0.4683979047
78	0.4674198066
79	0.466510414
80	0.4657236062
81	0.465351412
82	0.4647992635
83	0.4642227325
84	0.4635594712
85	0.4629935072
86	0.462299803
87	0.4619055331
88	0.4614546724
89	0.4608427758
90	0.4604915773
91	0.4601498614
92	0.4598461234
93	0.4594421172
94	0.4589982373
95	0.4584844846
96	0.4581221721
97	0.457709012
98	0.4567740103
99	0.456371021
100	0.4559870502
101	0.4554912327
102	0.4548693757
103	0.4545654943
104	0.4542401897
105	0.4537918707
106	0.4530828307
107	0.4526244871
108	0.4517146595
109	0.451247126
110	0.4509294037
111	0.4506065148
112	0.4499456726
113	0.4497183766
114	0.4494345013
115	0.449167944
116	0.4488855405
117	0.4485857789
118	0.4480248042
119	0.4475977748
120	0.4472918298
121	0.447001731
122	0.4466069462
123	0.4463572519
124	0.4460788757
125	0.4457694104
126	0.4454167193
127	0.4452006834
128	0.4449217156
129	0.4444476945
130	0.4439304534
131	0.4435857714
132	0.4433892712
133	0.4431203003
134	0.4428451679
135	0.4424857625
136	0.4421291404
137	0.4419491749
138	0.4415406347
139	0.4413231703
140	0.4409283395
141	0.4406028853
142	0.4401496879
143	0.439839125
144	0.4395868371
145	0.4392701098
146	0.439047254
147	0.4386325575
148	0.4381268478
149	0.4379109951
150	0.437652123
151	0.4374332756
