iter	Passed	Remaining
412	3695	5252
413	3703	5242
414	3711	5232
415	3719	5221
416	3726	5210
417	3736	5201
418	3743	5191
419	3751	5180
420	3759	5170
421	3768	5162
422	3777	5153
423	3785	5142
424	3793	5132
425	3801	5121
426	3810	5112
427	3817	5102
428	3827	5094
429	3834	5082
430	3844	5075
431	3852	5065
432	3860	5055
433	3868	5044
434	3876	5034
435	3883	5023
436	3894	5017
437	3902	5007
438	3911	4998
439	3920	4990
440	3936	4990
441	3944	4979
442	3952	4969
443	3959	4958
444	3968	4949
445	3975	4938
446	3983	4928
447	3991	4918
448	4002	4911
449	4011	4902
450	4020	4894
451	4029	4885
452	4039	4877
453	4048	4868
454	4059	4862
455	4067	4852
456	4076	4844
457	4087	4837
458	4096	4828
459	4105	4819
460	4112	4808
461	4121	4799
462	4129	4789
463	4138	4780
464	4145	4769
465	4153	4760
466	4161	4749
467	4172	4742
468	4180	4733
469	4190	4725
470	4200	4717
471	4207	4707
472	4216	4698
473	4226	4689
474	4235	4681
475	4243	4671
476	4256	4666
477	4265	4658
478	4273	4647
479	4282	4639
480	4290	4628
481	4298	4619
482	4305	4609
483	4315	4600
484	4323	4590
485	4333	4583
486	4341	4573
487	4351	4565
488	4358	4555
489	4366	4544
490	4374	4534
491	4384	4527
492	4392	4516
493	4400	4507
494	4407	4496
495	4417	4489
496	4425	4479
497	4434	4470
498	4443	4461
499	4452	4452
500	4460	4442
501	4468	4432
502	4477	4423
503	4485	4413
504	4495	4406
505	4503	4396
506	4511	4387
507	4519	4377
508	4528	4368
509	4535	4357
510	4563	4367
511	4571	4357
512	4592	4359
513	4599	4349
514	4608	4339
515	4616	4330
516	4647	4341
517	4655	4332
518	4664	4323
519	4674	4314
520	4682	4304
521	4690	4295
522	4698	4285
523	4709	4277
524	4716	4267
525	4726	4258
526	4733	4248
527	4743	4240
528	4750	4229
529	4760	4221
530	4767	4210
531	4776	4201
532	4783	4191
533	4792	4182
534	4800	4172
535	4809	4163
536	4816	4152
537	4824	4143
538	4832	4133
539	4841	4124
540	4850	4115
541	4860	4106
542	4870	4098
543	4878	4089
544	4887	4080
545	4896	4071
546	4908	4065
547	4918	4056
548	4926	4047
549	4935	4037
550	4943	4028
551	4956	4022
552	4964	4013
553	4975	4005
554	4985	3997
555	4993	3987
556	5005	3980
557	5014	3971
558	5024	3963
559	5032	3953
560	5040	3944
561	5048	3934
562	5057	3925
563	5064	3915
564	5075	3907
565	5084	3899
566	5092	3889
567	5101	3879
568	5109	3870
569	5120	3862
570	5129	3854
571	5139	3845
572	5148	3836
573	5156	3826
574	5165	3818
